artist_name,specific_genre
mukesh,classic bollywood
mukesh,desi pop
mukesh,filmi
mukesh,ghazal
mukesh,sufi
frankie laine,adult standards
frankie laine,brill building pop
frankie laine,cowboy western
frankie laine,deep adult standards
frankie laine,easy listening
frankie laine,lounge
frankie laine,rock-and-roll
johnnie ray,adult standards
johnnie ray,brill building pop
johnnie ray,deep adult standards
johnnie ray,easy listening
johnnie ray,lounge
johnnie ray,rock-and-roll
pérez prado,mambo
pérez prado,musica tradicional cubana
pérez prado,space age pop
giorgos papadopoulos,cypriot pop
giorgos papadopoulos,greek pop
giorgos papadopoulos,laiko
perry como,adult standards
perry como,brill building pop
perry como,easy listening
perry como,lounge
perry como,vocal jazz
freestyle,dominican pop
freestyle,trap dominicano
johnny mathis,adult standards
johnny mathis,brill building pop
johnny mathis,easy listening
johnny mathis,lounge
johnny mathis,mellow gold
johnny mathis,vocal jazz
stélios kazantzídis,classic greek pop
stélios kazantzídis,greek pop
stélios kazantzídis,laiko
stélios kazantzídis,rebetiko
liva weel,classic danish pop
liva weel,dansktop
the chordettes,adult standards
the chordettes,brill building pop
the chordettes,classic girl group
the chordettes,doo-wop
the chordettes,lounge
the chordettes,rock-and-roll
the chordettes,vocal harmony group
ghantasala,classic tollywood
ghantasala,filmi
les paul,space age pop
asha bhosle,chutney
asha bhosle,classic bollywood
asha bhosle,desi pop
asha bhosle,filmi
asha bhosle,sufi
mohammed rafi,classic bollywood
mohammed rafi,classic tollywood
mohammed rafi,desi pop
mohammed rafi,filmi
mohammed rafi,sufi
lata mangeshkar,classic bollywood
lata mangeshkar,desi pop
lata mangeshkar,filmi
lata mangeshkar,sufi
t. m. soundararajan,classic kollywood
t. m. soundararajan,filmi
t. m. soundararajan,tamil pop
talat mahmood,classic bollywood
talat mahmood,classic pakistani pop
talat mahmood,filmi
talat mahmood,ghazal
talat mahmood,sufi
andy williams,adult standards
andy williams,brill building pop
andy williams,easy listening
andy williams,lounge
andy williams,mellow gold
andy williams,vocal jazz
sven-bertil taube,classic swedish pop
sven-bertil taube,folkmusik
sven-bertil taube,swedish jazz
sven-bertil taube,vintage swedish pop
sven-bertil taube,visor
bobby vinton,adult standards
bobby vinton,brill building pop
bobby vinton,bubblegum pop
bobby vinton,easy listening
bobby vinton,lounge
bobby vinton,rock-and-roll
los hermanos arriagada,bolero
los hermanos arriagada,classic colombian pop
los hermanos arriagada,pop romantico
the drifters,adult standards
the drifters,brill building pop
the drifters,bubblegum pop
the drifters,mellow gold
the drifters,motown
the drifters,rock-and-roll
the drifters,rockabilly
the drifters,soul
harry belafonte,adult standards
harry belafonte,brill building pop
harry belafonte,calypso
harry belafonte,lounge
a. m. rajah,classic kollywood
a. m. rajah,filmi
jonah jones,jazz trumpet
jonah jones,space age pop
bill haley & his comets,adult standards
bill haley & his comets,brill building pop
bill haley & his comets,rock-and-roll
bill haley & his comets,rockabilly
ted heath,big band
ted heath,easy listening
ted heath,space age pop
ted heath,swing
the platters,adult standards
the platters,brill building pop
the platters,doo-wop
the platters,easy listening
the platters,lounge
the platters,rock-and-roll
the platters,rockabilly
the platters,vocal jazz
pete yorn,neo mellow
pete yorn,new jersey indie
pete yorn,pop rock
the clovers,brill building pop
the clovers,doo-wop
the clovers,rhythm and blues
the clovers,rock-and-roll
jerry vale,adult standards
jerry vale,easy listening
jerry vale,lounge
lavern baker,brill building pop
lavern baker,doo-wop
lavern baker,jump blues
lavern baker,rhythm and blues
lavern baker,rock-and-roll
lavern baker,rockabilly
lavern baker,soul
lavern baker,southern soul
lavern baker,torch song
groovie ghoulies,power-pop punk
ricky nelson,adult standards
ricky nelson,brill building pop
ricky nelson,bubblegum pop
ricky nelson,folk rock
ricky nelson,lounge
ricky nelson,rock-and-roll
ricky nelson,rockabilly
ricky nelson,vocal jazz
billy vaughn,adult standards
billy vaughn,ballroom
billy vaughn,easy listening
billy vaughn,lounge
billy vaughn,space age pop
eddie cochran,adult standards
eddie cochran,brill building pop
eddie cochran,rock-and-roll
eddie cochran,rockabilly
jimmie rodgers,appalachian folk
jimmie rodgers,bluegrass
jimmie rodgers,country rock
jimmie rodgers,folk
jimmie rodgers,old-time
jimmie rodgers,traditional country
jimmie rodgers,traditional folk
jimmie rodgers,yodeling
the keynotes,contemporary gospel
the keynotes,praise
pradeep kumar,tamil pop
esquivel!,adult standards
esquivel!,easy listening
esquivel!,exotica
esquivel!,lounge
esquivel!,space age pop
張露,c-pop
張露,vintage chinese pop
張露,vintage taiwan pop
maria koterbska,classic polish pop
bobby darin,adult standards
bobby darin,brill building pop
bobby darin,easy listening
bobby darin,lounge
bobby darin,rock-and-roll
bobby darin,rockabilly
bobby darin,soul
bobby darin,swing
bobby darin,vocal jazz
the everly brothers,adult standards
the everly brothers,brill building pop
the everly brothers,bubblegum pop
the everly brothers,mellow gold
the everly brothers,rock-and-roll
the everly brothers,rockabilly
the everly brothers,sunshine pop
buddy holly,adult standards
buddy holly,brill building pop
buddy holly,bubblegum pop
buddy holly,classic rock
buddy holly,folk rock
buddy holly,rock-and-roll
buddy holly,rockabilly
jackie wilson,adult standards
jackie wilson,brill building pop
jackie wilson,chicago soul
jackie wilson,classic soul
jackie wilson,funk
jackie wilson,lounge
jackie wilson,motown
jackie wilson,quiet storm
jackie wilson,rhythm and blues
jackie wilson,rock-and-roll
jackie wilson,rockabilly
jackie wilson,soul
frankie lymon,brill building pop
frankie lymon,doo-wop
frankie lymon,rhythm and blues
frankie lymon,rock-and-roll
mantovani,adult standards
mantovani,easy listening
mantovani,lounge
jerry lee lewis,adult standards
jerry lee lewis,brill building pop
jerry lee lewis,piano rock
jerry lee lewis,rock-and-roll
jerry lee lewis,rockabilly
neil sedaka,adult standards
neil sedaka,brill building pop
neil sedaka,bubblegum pop
neil sedaka,easy listening
neil sedaka,lounge
