artist_name,main_genre
mukesh,pop
frankie laine,pop
johnnie ray,pop
pérez prado,pop
giorgos papadopoulos,pop
perry como,pop
freestyle,pop
johnny mathis,pop
stélios kazantzídis,pop
liva weel,pop
the chordettes,pop
ghantasala,pop
les paul,pop
asha bhosle,pop
mohammed rafi,pop
lata mangeshkar,pop
t. m. soundararajan,pop
talat mahmood,pop
andy williams,pop
sven-bertil taube,pop
bobby vinton,pop
los hermanos arriagada,pop
the drifters,pop
harry belafonte,pop
a. m. rajah,pop
jonah jones,pop
bill haley & his comets,pop
ted heath,pop
the platters,pop
pete yorn,pop
the clovers,pop
jerry vale,pop
lavern baker,pop
groovie ghoulies,pop
ricky nelson,pop
billy vaughn,pop
eddie cochran,pop
jimmie rodgers,pop
the keynotes,pop
pradeep kumar,pop
esquivel!,pop
張露,pop
maria koterbska,pop
bobby darin,pop
the everly brothers,pop
buddy holly,pop
jackie wilson,pop
frankie lymon,pop
mantovani,pop
jerry lee lewis,rock
neil sedaka,pop
cliff richard & the shadows,pop
shirley bassey,pop
lloyd price,pop
tony dallara,pop
rania,pop
ira ironstrings,pop
brenda lee,pop
connie francis,pop
the brothers four,pop
the flamingos,pop
ritchie valens,pop
dion & the belmonts,pop
the byrds,rock
simon & garfunkel,folk
fats domino,pop
"blood, sweat & tears",rock
sam cooke,rnb
miriam makeba,pop
patti page,pop
brook benton,pop
the moody blues,rock
ike & tina turner,rnb
si zentner,pop
frankie avalon,pop
eden ahbez,pop
bobby vee,pop
joan baez,pop
johnny burnette,pop
chubby checker,pop
the shirelles,pop
brian hyland,pop
ben e. king,pop
judy collins,pop
the miracles,rnb
del shannon,pop
little richard,rock
sue thompson,rock
najat al saghira,rock
roy orbison,rock
the marvelettes,pop
mary wells,rnb
steve lawrence,pop
dee clark,pop
dion,pop
jerry butler,pop
shelley fabares,pop
the lettermen,pop
the supremes,pop
timi yuro,pop
little eva,pop
pat boone,pop
johnny tillotson,pop
dee dee sharp,pop
cliff richard,pop
the orlons,pop
gene chandler,rnb
chris montez,pop
glen campbell,pop
georgie fame,pop
bob dylan,pop
smokey robinson & the miracles,rnb
"peter, paul and mary",pop
jay & the americans,pop
billy joe royal,pop
the impressions,pop
the beach boys,pop
lesley gore,pop
vince guaraldi,pop
robin ward,pop
the shadows,pop
barbara lewis,pop
the crystals,pop
the tymes,pop
the searchers,pop
martha reeves & the vandellas,pop
the cascades,pop
frankie valli & the four seasons,pop
lou christie,pop
the ronettes,pop
darlene love,pop
trini lopez,pop
kai winding,pop
al martino,pop
manfred mann,rock
little anthony & the imperials,pop
dionne warwick,pop
jan & dean,pop
the dixie cups,pop
the dave clark five,pop
dusty springfield,pop
monica zetterlund,pop
wayne fontana & the mindbenders,pop
al hirt,pop
donovan,pop
? & the mysterians,rock
four tops,pop
sonny & cher,pop
cher,pop
paul simon,pop
chad & jeremy,pop
the righteous brothers,pop
skeeter davis,pop
wilson pickett,rnb
gary lewis & the playboys,pop
the zombies,pop
jr. walker & the all stars,rnb
them,pop
dorothy ashby,pop
the turtles,pop
the knickerbockers,pop
the walker brothers,pop
the easybeats,pop
the lovin' spoonful,rock
john farnham,rock
fontella bass,pop
the monkees,pop
nancy sinatra,pop
the seeds,pop
the spencer davis group,pop
percy sledge,rnb
lee hazlewood,pop
love,hip hop
gene pitney,pop
the happenings,pop
paul revere & the raiders,pop
herman's hermits,pop
the sandpipers,pop
paul anka,pop
tim buckley,pop
the mamas & the papas,pop
"dave dee, dozy, beaky, mick & tich",pop
walter wanderley,pop
crispian st. peters,pop
van dyke parks,pop
the tremeloes,pop
the young rascals,pop
the box tops,pop
harpers bizarre,pop
procol harum,rock
the association,pop
tommy james & the shondells,rock
gene clark,rock
the royal guardsmen,rock
the cowsills,pop
sonny bono,pop
johnny rivers,pop
engelbert humperdinck,pop
strawberry alarm clock,pop
burt bacharach,pop
the sweet inspirations,rnb
the buckinghams,pop
the hollies,pop
gladys knight & the pips,pop
nico,pop
the electric prunes,pop
margo guryan,pop
josé feliciano,pop
carole king,pop
neil diamond,pop
the foundations,pop
harry nilsson,pop
joni mitchell,pop
gary puckett & the union gap,pop
van morrison,pop
mandy moore,pop
mary hopkin,pop
céline dion,pop
love affair,pop
the rascals,pop
the cats,pop
laura nyro,pop
the millennium,pop
the archies,pop
scott walker,pop
tommy boyce,pop
joe south,pop
the lemon pipers,pop
ohio express,pop
jackie deshannon,pop
melanie,pop
classics iv,pop
fairport convention,rock
karen dalton,folk
three dog night,rock
free,pop
bread,pop
boz scaggs,rock
jimmy ruffin,rnb
the flying burrito brothers,pop
marmalade,pop
tony joe white,pop
nick drake,pop
leonard cohen,pop
poco,rock
triste janero,rock
ringo starr,rock
badfinger,rock
the partridge family,rock
the move,reggae
wishbone ash,rock
john cale,pop
faces,rock
vanity fare,pop
todd rundgren,rock
michael nesmith,folk
bobby bloom,folk
mark lindsay,folk
alive 'n kickin',folk
dave edmunds,rock
electric light orchestra,rock
can,pop
wings,rock
status quo,rock
flamin' groovies,rock
the youngbloods,rock
bonnie raitt,pop
lindisfarne,pop
colin blunstone,pop
