main_genre,specific_genre
rock,rock
rock,classic rock
country,country rock
pop,mellow gold
jazz,adult standards
rock,album rock
country,country
rock,soft rock
rock,blues rock
folk,folk rock
rock,hard rock
rock,art rock
rock,alternative rock
jazz,vocal jazz
rock,roots rock
pop,brill building pop
r&b,soul
folk,folk
rock,modern rock
country,country road
pop,lounge
pop,pop rock
metal,alternative metal
reggae,reggae
pop,permanent wave
rock,rock-and-roll
pop,pop
pop,singer-songwriter
country,contemporary country
rock,psychedelic rock
hip hop,rap
pop,electric blues
hip hop,hip hop
reggae,roots reggae
r&b,funk
pop,dance pop
metal,nu metal
country,outlaw country
pop,new wave pop
pop,blues
rock,modern blues rock
metal,metal
pop,new wave
rock,rockabilly
pop,nashville sound
pop,bubblegum pop
hip hop,pop rap
pop,quiet storm
pop,easy listening
pop,swing
jazz,dub
punk,punk
pop,motown
pop,modern blues
rock,heartland rock
r&b,classic soul
rock,symphonic rock
jazz,jazz blues
jazz,jazz funk
punk,punk blues
rock,indie rock
country,classic country pop
hip hop,gangster rap
reggae,reggae fusion
rock,garage rock
jazz,jazz
rock,lovers rock
rock,modern alternative rock
punk,post-punk
country,texas country
pop,new americana
pop,jam band
pop,urban contemporary
pop,new romantic
pop,disco
jazz,jazz fusion
pop,ska
rock,progressive rock
pop,stomp and holler
country,country dawn
folk,indie folk
rock,yacht rock
jazz,cool jazz
r&b,southern soul
rock,southern rock
hip hop,southern hip hop
pop,r&b
jazz,smooth jazz
country,traditional blues
reggae,reggae rock
pop,lilith
hip hop,hardcore hip hop
country,alternative country
pop,rhythm and blues
hip hop,trap
rock,glam rock
pop,post-grunge
country,arkansas country
country,modern country rock
hip hop,east coast hip hop
pop,british blues
rock,rock steady
pop,hip pop
pop,neo mellow
hip hop,rap rock
metal,glam metal
jazz,nu jazz
pop,british invasion
reggae,modern reggae
pop,power pop
pop,torch song
jazz,soul jazz
r&b,soul blues
pop,beatlesque
pop,post-teen pop
electronica,electronica
r&b,doo-wop
pop,old school dancehall
r&b,neo soul
pop,merseybeat
pop,art pop
pop,experimental
pop,synthpop
rock,pub rock
pop,melancholia
punk,protopunk
hip hop,alternative hip hop
pop,indie pop
hip hop,rap metal
pop,dancehall
pop,dream pop
country,honky tonk
r&b,funk metal
pop,deep new americana
punk,pop punk
blues,hard bop
country,traditional country
country,oklahoma country
folk,freak folk
pop,zolo
hip hop,trip hop
pop,grunge
r&b,funk rock
blues,bebop
hip hop,dirty south rap
pop,canadian pop
punk,skate punk
pop,post-hardcore
jazz,old school thrash
pop,baroque pop
pop,cowboy western
pop,big band
electronica,electropop
pop,new jack swing
rock,piano rock
pop,dance rock
pop,neo-psychedelic
hip hop,conscious hip hop
r&b,memphis soul
country,chicago blues
religious,christian alternative rock
punk,uk post-punk
jazz,jazz piano
pop,post-disco
blues,stride
jazz,turntablism
metal,thrash metal
pop,redneck
religious,christian music
reggae,uk reggae
country,bakersfield sound
pop,alternative dance
jazz,jazz trumpet
pop,downtempo
pop,sunshine pop
hip hop,atl hip hop
pop,noise pop
pop,jawaiian
blues,harlem renaissance
jazz,indie jazz
pop,sophisti-pop
country,country blues
pop,canadian singer-songwriter
country,acoustic blues
pop,ccm
pop,worship
pop,europop
jazz,contemporary vocal jazz
rock,classic canadian rock
jazz,djent
pop,new rave
rock,indie garage rock
jazz,jazz rap
hip hop,old school hip hop
jazz,jazz saxophone
pop,gbvfi
r&b,indie soul
metal,progressive metal
punk,hardcore punk
punk,socal pop punk
rock,swamp rock
pop,garage psych
pop,indie poptimism
pop,garage pop
pop,progressive bluegrass
pop,screamo
rock,detroit rock
rock,modern hard rock
metal,canadian metal
metal,industrial metal
pop,double drumming
hip hop,golden age hip hop
rock,indietronica
r&b,modern funk
rock,garage rock revival
metal,death metal
rock,instrumental rock
religious,christian rock
pop,louisiana blues
pop,cosmic american
r&b,chicago soul
rock,australian rock
reggae,east coast reggae
folk,anti-folk
metal,speed metal
country,texas blues
pop,emo
rock,acid rock
folk,american folk revival
country,country pop
pop,boy band
rock,canadian rock
rock,industrial rock
blues,progressive post-hardcore
jazz,jazz rock
country,harmonica blues
country,supergroup
rock,experimental rock
jazz,smooth saxophone
hip hop,west coast rap
hip hop,queens hip hop
jazz,jazz guitar
electronica,electro swing
metal,melodic metalcore
rock,classic garage rock
pop,classic girl group
country,delta blues
pop,alternative pop
pop,big beat
punk,art punk
pop,shoegaze
pop,new orleans blues
pop,crunk
punk,ska punk
hip hop,country rap
reggae,west coast reggae
electronica,electro
country,canadian country
rock,bay area indie
pop,ninja
electronica,edm
rock,irish rock
metal,metalcore
rock,indiecoustica
jazz,contemporary post-bop
pop,bluegrass
country,country gospel
pop,piano blues
rock,boston rock
pop,pop r&b
pop,tropical house
rock,stoner rock
pop,industrial
folk,appalachian folk
jazz,jazz pop
country,red dirt
pop,wrestling
pop,vocal harmony group
pop,old-time
rock,alternative r&b
pop,pop dance
pop,comic
pop,acoustic pop
metal,groove metal
metal,birmingham metal
jazz,progressive jazz fusion
r&b,southern soul blues
jazz,contemporary jazz
jazz,new orleans jazz
pop,memphis blues
hip hop,underground hip hop
pop,lo-fi
hip hop,melodic rap
pop,madchester
pop,hip house
rock,flute rock
rock,space rock
pop,latin
pop,girl group
reggae,australian reggae fusion
r&b,philly soul
rock,noise rock
hip hop,canadian hip hop
pop,ska revival
folk,modern folk rock
pop,jangle pop
country,western swing
pop,australian pop
pop,dixieland
jazz,latin jazz
pop,uk americana
pop,freakbeat
rock,gothic rock
pop,uk pop
pop,world worship
pop,dreamo
punk,punk 'n' roll
hip hop,political hip hop
r&b,g funk
jazz,technical thrash
folk,traditional folk
rock,mexican classic rock
jazz,free jazz
jazz,jazz boom bap
hip hop,bronx hip hop
pop,latin pop
pop,classic uk pop
rock,athens indie
pop,jump blues
pop,bossa nova
pop,metropopolis
punk,dance-punk
pop,viral pop
pop,candy pop
blues,afrobeat
metal,stoner metal
rock,la indie
metal,swedish metal
rock,nwobhm
pop,hollywood
jazz,jazztronica
metal,progressive groove metal
rock,sleaze rock
hip hop,miami hip hop
reggae,soca
