main_genre,specific_genre,occurrences,theme_weight
rock,rock,5680,0.940162978
rock,classic rock,4424,0.946204431
country,country rock,4298,0.951062755
pop,mellow gold,3380,0.947070487
jazz,adult standards,3005,0.951813349
rock,album rock,2990,0.946019162
country,country,2897,0.953674508
rock,soft rock,2702,0.944164967
rock,blues rock,2686,0.946045199
folk,folk rock,2677,0.948926323
rock,hard rock,2040,0.943324628
rock,art rock,1939,0.94640901
rock,alternative rock,1937,0.937907717
jazz,vocal jazz,1869,0.95692399
rock,roots rock,1845,0.948011368
pop,brill building pop,1706,0.947614548
r&b,soul,1701,0.944819293
folk,folk,1567,0.950804609
rock,modern rock,1389,0.926121089
country,country road,1376,0.95273928
pop,lounge,1325,0.956055207
pop,pop rock,1289,0.937319224
metal,alternative metal,1286,0.932928111
reggae,reggae,1212,0.948643701
pop,permanent wave,1184,0.936301594
rock,rock-and-roll,1176,0.946014304
pop,pop,1173,0.933394628
pop,singer-songwriter,1152,0.949707903
country,contemporary country,1148,0.950402347
rock,psychedelic rock,1122,0.946188912
hip hop,rap,1096,0.932404971
pop,electric blues,1086,0.94510354
hip hop,hip hop,1084,0.929059043
reggae,roots reggae,1068,0.949770613
r&b,funk,1029,0.940049054
pop,dance pop,1011,0.93417706
metal,nu metal,962,0.930889341
country,outlaw country,949,0.960025345
pop,new wave pop,908,0.94102254
pop,blues,883,0.944313834
rock,modern blues rock,880,0.935740501
metal,metal,850,0.945287863
pop,new wave,842,0.950518254
rock,rockabilly,840,0.945140036
pop,nashville sound,839,0.954802116
pop,bubblegum pop,820,0.946523343
hip hop,pop rap,813,0.933472145
pop,quiet storm,785,0.940218347
pop,easy listening,782,0.963590255
pop,swing,764,0.954586726
jazz,dub,764,0.949717358
punk,punk,732,0.934818066
pop,motown,726,0.944509105
pop,modern blues,708,0.946648063
rock,heartland rock,702,0.942657337
r&b,classic soul,694,0.943077281
rock,symphonic rock,692,0.949216142
jazz,jazz blues,688,0.951891552
jazz,jazz funk,680,0.948636256
punk,punk blues,669,0.938612405
rock,indie rock,662,0.939617785
country,classic country pop,610,0.954225462
hip hop,gangster rap,593,0.922967587
reggae,reggae fusion,578,0.946962258
rock,garage rock,576,0.938101593
jazz,jazz,573,0.95002129
rock,lovers rock,560,0.952613149
rock,modern alternative rock,542,0.923891984
punk,post-punk,540,0.948298221
country,texas country,535,0.955403655
pop,new americana,530,0.943411876
pop,jam band,523,0.945514829
pop,urban contemporary,521,0.933076664
pop,new romantic,518,0.949293261
pop,disco,512,0.939300419
jazz,jazz fusion,506,0.945474199
pop,ska,494,0.94910881
rock,progressive rock,493,0.941936174
pop,stomp and holler,489,0.937662853
country,country dawn,483,0.95048743
folk,indie folk,483,0.935830779
rock,yacht rock,475,0.949077069
jazz,cool jazz,473,0.950240015
r&b,southern soul,469,0.941026023
rock,southern rock,465,0.950348493
hip hop,southern hip hop,463,0.932161926
pop,r&b,454,0.93379557
jazz,smooth jazz,452,0.95321851
country,traditional blues,450,0.94772047
reggae,reggae rock,436,0.936737236
pop,lilith,429,0.946440001
hip hop,hardcore hip hop,424,0.919108232
country,alternative country,421,0.953645492
pop,rhythm and blues,413,0.947755011
hip hop,trap,409,0.93800042
rock,glam rock,408,0.940928497
pop,post-grunge,399,0.929186899
country,arkansas country,392,0.953406186
country,modern country rock,379,0.945082913
hip hop,east coast hip hop,377,0.919362599
pop,british blues,376,0.941631111
rock,rock steady,371,0.950147851
pop,hip pop,365,0.931717851
pop,neo mellow,360,0.932288368
hip hop,rap rock,355,0.932588654
metal,glam metal,354,0.938643549
jazz,nu jazz,353,0.94293327
pop,british invasion,352,0.936894818
reggae,modern reggae,349,0.958890993
pop,power pop,344,0.93765477
pop,torch song,338,0.951892051
jazz,soul jazz,336,0.952631122
r&b,soul blues,318,0.946617137
pop,beatlesque,316,0.932208043
pop,post-teen pop,315,0.932195307
eletronica,electronica,314,0.943988338
r&b,doo-wop,305,0.955952855
pop,old school dancehall,299,0.956145642
r&b,neo soul,296,0.936034009
pop,merseybeat,292,0.936804309
pop,art pop,290,0.944920411
pop,experimental,290,0.94496868
pop,synthpop,288,0.953551941
rock,pub rock,282,0.941930751
pop,melancholia,281,0.948414606
punk,protopunk,262,0.93945313
hip hop,alternative hip hop,258,0.92501111
pop,indie pop,258,0.925382892
hip hop,rap metal,252,0.93061672
pop,dancehall,251,0.957289916
pop,dream pop,248,0.953847775
country,honky tonk,242,0.952194272
r&b,funk metal,239,0.936820816
pop,deep new americana,235,0.940317345
punk,pop punk,232,0.938851474
blues,hard bop,229,0.949612606
country,traditional country,228,0.951083481
country,oklahoma country,228,0.954781928
folk,freak folk,226,0.949753521
pop,zolo,226,0.943248341
hip hop,trip hop,225,0.946167027
pop,grunge,221,0.941578881
r&b,funk rock,219,0.946578134
blues,bebop,219,0.953416255
hip hop,dirty south rap,208,0.93451373
pop,canadian pop,206,0.943671828
punk,skate punk,204,0.934199035
pop,post-hardcore,204,0.956560245
jazz,old school thrash,201,0.94956293
pop,baroque pop,201,0.947331939
pop,cowboy western,198,0.94921474
pop,big band,198,0.953013005
eletronica,electropop,196,0.929417585
pop,new jack swing,195,0.928093572
rock,piano rock,195,0.935722428
pop,dance rock,192,0.953194737
pop,neo-psychedelic,191,0.945952738
hip hop,conscious hip hop,190,0.935282174
r&b,memphis soul,188,0.938574654
country,chicago blues,187,0.948016684
religious,christian alternative rock,185,0.914716531
punk,uk post-punk,184,0.948770639
jazz,jazz piano,181,0.953673051
pop,post-disco,181,0.939899461
blues,stride,179,0.953554328
jazz,turntablism,175,0.924457098
metal,thrash metal,175,0.949297983
pop,redneck,174,0.954973413
religious,christian music,174,0.913562524
reggae,uk reggae,173,0.949130546
country,bakersfield sound,172,0.96367579
pop,alternative dance,171,0.93333898
jazz,jazz trumpet,169,0.951538169
pop,downtempo,167,0.947384349
pop,sunshine pop,167,0.951040239
hip hop,atl hip hop,167,0.93607823
pop,noise pop,164,0.952661979
pop,jawaiian,163,0.938245311
blues,harlem renaissance,162,0.95465066
jazz,indie jazz,160,0.943411643
pop,sophisti-pop,160,0.950737367
country,country blues,154,0.95762931
pop,canadian singer-songwriter,154,0.951218379
country,acoustic blues,154,0.946378764
pop,ccm,148,0.908997762
pop,worship,148,0.910633127
pop,europop,147,0.930957146
jazz,contemporary vocal jazz,145,0.961958213
rock,classic canadian rock,145,0.943706276
jazz,djent,144,0.959329557
pop,new rave,141,0.928138493
rock,indie garage rock,141,0.935117188
jazz,jazz rap,140,0.947424854
hip hop,old school hip hop,139,0.915895909
jazz,jazz saxophone,137,0.946581842
pop,gbvfi,136,0.950762253
r&b,indie soul,136,0.936209433
metal,progressive metal,133,0.922452111
punk,hardcore punk,132,0.946974004
punk,socal pop punk,132,0.940435331
rock,swamp rock,131,0.943166624
pop,garage psych,131,0.948424053
pop,indie poptimism,130,0.922269139
pop,garage pop,129,0.946770534
pop,progressive bluegrass,129,0.949145843
pop,screamo,128,0.962015104
rock,detroit rock,128,0.936499724
rock,modern hard rock,125,0.94151457
metal,canadian metal,124,0.930945189
metal,industrial metal,123,0.940623211
pop,double drumming,123,0.952655976
hip hop,golden age hip hop,121,0.923960866
rock,indietronica,121,0.930165055
r&b,modern funk,121,0.932848837
rock,garage rock revival,117,0.919836671
metal,death metal,115,0.948417912
rock,instrumental rock,115,0.936970898
religious,christian rock,113,0.920231751
pop,louisiana blues,113,0.932942447
pop,cosmic american,113,0.943285514
r&b,chicago soul,113,0.954231071
rock,australian rock,113,0.922687276
reggae,east coast reggae,113,0.935072795
folk,anti-folk,111,0.944228924
metal,speed metal,110,0.942312882
country,texas blues,109,0.95202676
pop,emo,109,0.94844071
rock,acid rock,109,0.963022932
folk,american folk revival,108,0.948322738
country,country pop,107,0.932265026
pop,boy band,107,0.942241889
rock,canadian rock,106,0.932179615
rock,industrial rock,105,0.943267831
blues,progressive post-hardcore,102,0.962589384
jazz,jazz rock,102,0.934648489
country,harmonica blues,100,0.951097782
country,supergroup,100,0.937612369
rock,experimental rock,99,0.947160751
jazz,smooth saxophone,99,0.953005271
hip hop,west coast rap,98,0.922842852
hip hop,queens hip hop,98,0.936136977
jazz,jazz guitar,98,0.957575669
eletronica,electro swing,98,0.942166718
metal,melodic metalcore,96,0.951159717
rock,classic garage rock,95,0.947257
pop,classic girl group,95,0.936427321
country,delta blues,95,0.946008005
pop,alternative pop,95,0.933302285
pop,big beat,94,0.929658246
punk,art punk,94,0.954098183
pop,shoegaze,93,0.951229032
pop,new orleans blues,92,0.929707487
pop,crunk,92,0.933054129
punk,ska punk,92,0.931617176
hip hop,country rap,91,0.948728456
reggae,west coast reggae,91,0.936670924
eletronica,electro,91,0.911583313
country,canadian country,90,0.94985585
rock,bay area indie,90,0.950876434
pop,ninja,89,0.946773984
eletronica,edm,89,0.94706469
rock,irish rock,88,0.938280159
metal,metalcore,88,0.955902321
rock,indiecoustica,88,0.922002062
jazz,contemporary post-bop,88,0.939666483
pop,bluegrass,88,0.958204212
country,country gospel,88,0.961710879
pop,piano blues,87,0.922969846
rock,boston rock,86,0.932958357
pop,pop r&b,86,0.946076861
pop,tropical house,86,0.930410377
rock,stoner rock,84,0.940130789
pop,industrial,84,0.942837265
folk,appalachian folk,83,0.946127559
jazz,jazz pop,82,0.968143623
country,red dirt,81,0.939697413
pop,wrestling,80,0.940950834
pop,vocal harmony group,79,0.958694597
pop,old-time,79,0.957877625
rock,alternative r&b,79,0.9369021
pop,pop dance,78,0.94420327
pop,comic,78,0.939761512
pop,acoustic pop,78,0.92420448
metal,groove metal,77,0.947322076
metal,birmingham metal,77,0.952623503
jazz,progressive jazz fusion,76,0.954152097
r&b,southern soul blues,75,0.956668979
jazz,contemporary jazz,75,0.950180011
jazz,new orleans jazz,75,0.964972146
pop,memphis blues,74,0.944934507
hip hop,underground hip hop,74,0.91617161
pop,lo-fi,74,0.946586582
hip hop,melodic rap,74,0.946469177
pop,madchester,73,0.940164454
pop,hip house,73,0.923435214
rock,flute rock,73,0.961642115
rock,space rock,73,0.94293806
pop,latin,72,0.925996184
pop,girl group,71,0.932843103
reggae,australian reggae fusion,71,0.94744427
r&b,philly soul,71,0.944304281
rock,noise rock,70,0.951920554
hip hop,canadian hip hop,69,0.943717075
pop,ska revival,69,0.954447468
folk,modern folk rock,69,0.948454734
pop,jangle pop,68,0.939322305
country,western swing,67,0.959023497
pop,australian pop,66,0.926384783
pop,dixieland,65,0.967646296
jazz,latin jazz,65,0.942028307
pop,uk americana,64,0.940280241
pop,freakbeat,64,0.945334789
rock,gothic rock,64,0.958634095
pop,uk pop,64,0.943663303
pop,world worship,63,0.889157162
pop,dreamo,63,0.947380247
punk,punk 'n' roll,62,0.936052739
hip hop,political hip hop,62,0.92797406
r&b,g funk,62,0.922697048
jazz,technical thrash,61,0.949461324
folk,traditional folk,61,0.948341147
rock,mexican classic rock,61,0.940570906
jazz,free jazz,60,0.947430535
jazz,jazz boom bap,60,0.966415608
hip hop,bronx hip hop,59,0.932519591
pop,latin pop,59,0.933616815
pop,classic uk pop,59,0.954667545
rock,athens indie,58,0.960116184
pop,jump blues,58,0.927630847
pop,bossa nova,58,0.94003507
pop,metropopolis,58,0.942378486
punk,dance-punk,56,0.933638369
pop,viral pop,56,0.929133866
pop,candy pop,55,0.924448875
blues,afrobeat,55,0.946897923
metal,stoner metal,54,0.931869674
rock,la indie,53,0.939469203
metal,swedish metal,53,0.956992814
rock,nwobhm,53,0.939026919
pop,hollywood,53,0.941740709
jazz,jazztronica,52,0.965559377
metal,progressive groove metal,51,0.96151972
rock,sleaze rock,51,0.94432592
hip hop,miami hip hop,51,0.928397481
reggae,soca,50,0.955353954
hip hop,chicago rap,50,0.948399419
pop,shimmer pop,50,0.936732621
rock,sacramento indie,49,0.933364085
pop,talent show,49,0.935171299
punk,indie punk,49,0.955049769
pop,filmi,49,0.954808981
blues,psychobilly,49,0.924946313
hip hop,toronto rap,48,0.951535281
jazz,livetronica,48,0.964053332
country,bluegrass gospel,48,0.955499931
pop,anthem worship,47,0.875851327
rock,alt z,47,0.921119854
pop,new jersey hardcore,47,0.951515661
eletronica,piedmont blues,47,0.963119224
jazz,jazz trio,47,0.96569487
pop,chillwave,47,0.907134911
pop,melodic hardcore,46,0.928567079
blues,palm desert scene,46,0.919778942
metal,technical groove metal,46,0.961304718
hip hop,chillhop,46,0.956310728
metal,power metal,46,0.95216561
jazz,avant-garde jazz,46,0.942833089
pop,afrofuturism,45,0.936743996
punk,new jersey punk,45,0.951064352
reggae,french reggae,45,0.964709066
punk,cowpunk,44,0.94238804
folk,folk-pop,44,0.91037727
pop,pop emo,44,0.91938971
pop,deathcore,44,0.957094026
reggae,early reggae,43,0.952059203
metal,technical death metal,43,0.95601662
folk,british folk,42,0.920842627
pop,britpop,42,0.906602857
punk,garage punk,42,0.954020361
pop,modern power pop,42,0.936244113
punk,portland punk,41,0.960547267
pop,swedish pop,41,0.931697363
jazz,samba-jazz,41,0.937703153
country,roots americana,39,0.966518161
hip hop,new orleans rap,39,0.924491028
punk,psychedelic punk,39,0.962495097
blues,swancore,39,0.974347188
punk,neon pop punk,39,0.918310894
pop,escape room,39,0.931261544
pop,pixie,39,0.92520392
metal,brutal death metal,39,0.953936646
hip hop,lgbtq+ hip hop,39,0.944632634
punk,cyberpunk,38,0.897140493
hip hop,latin hip hop,38,0.929413077
r&b,instrumental funk,38,0.940131921
rock,oxford indie,38,0.913297961
hip hop,houston rap,37,0.933050235
rock,canadian indie,37,0.908216282
jazz,ecm-style jazz,36,0.937717649
hip hop,harlem hip hop,35,0.910796796
jazz,electro jazz,35,0.94312612
pop,world,35,0.968688596
pop,space age pop,35,0.954571836
pop,experimental pop,35,0.952791053
reggae,nz reggae,35,0.932136142
metal,avant-garde metal,35,0.945346945
pop,pacific islands pop,34,0.936630808
blues,gothabilly,34,0.943389551
blues,rebel blues,34,0.91537348
pop,sufi,34,0.954801691
hip hop,underground rap,34,0.928641106
pop,hi-nrg,34,0.938745829
rock,washington indie,34,0.957064274
hip hop,new jersey rap,33,0.951371901
rock,scottish indie,33,0.956482325
rock,alternative roots rock,33,0.940905906
pop,classic bollywood,33,0.954865467
hip hop,pittsburgh rap,33,0.960729101
pop,desi pop,32,0.955247213
eletronica,electro house,32,0.950214858
pop,afropop,32,0.965415778
rock,indie r&b,32,0.926127823
pop,salsa,32,0.943193051
jazz,neo r&b,32,0.938603988
r&b,british soul,32,0.943244916
metal,north carolina metal,31,0.955059522
pop,native american,31,0.927046879
rock,modern southern rock,31,0.940592006
