child,parent,occurrences,dating,violence,life,time,audience,family,romantic,communication,obscene,music,places,visual,spiritual,girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,theme_weight
genre,
rock,genre,42009,0.021275737,0.14620279,0.123164109,0.064803333,0.017646476,0.016558009,0.040583232,0.07673488,0.062173472,0.059615823,0.049270317,0.052373031,0.025654162,0.026805361,0.126193626,0.03279093,0.478211846,0.669716417,0.256375621,0.088504431,0.526070798,0.628116447,0.941845289
pop,genre,24800,0.023636799,0.112877359,0.122927178,0.05918584,0.01859971,0.01410586,0.052524695,0.084566873,0.075172714,0.055187808,0.040854346,0.050254,0.021819425,0.031228375,0.146206531,0.032770944,0.528838441,0.678463242,0.304485931,0.065681398,0.541839697,0.59810815,0.941918457
country,genre,18982,0.018847246,0.075358546,0.130856168,0.063161444,0.011432552,0.020186547,0.056631659,0.081676639,0.065164548,0.071137968,0.067399053,0.04863469,0.020298133,0.026629597,0.164808942,0.03056498,0.536249936,0.637557063,0.441090515,0.020076461,0.527176416,0.473730595,0.952788712
jazz,genre,17103,0.020957966,0.080294581,0.128261213,0.051515077,0.012931771,0.017941131,0.08267387,0.068794213,0.086590066,0.092219427,0.034901318,0.06338998,0.023328113,0.027601588,0.130767208,0.029051297,0.490928843,0.581363319,0.63784237,0.202238988,0.465152566,0.380393436,0.951218821
rnb,genre,15960,0.039021746,0.102995719,0.107021252,0.063868953,0.021593612,0.023982896,0.055320453,0.078538497,0.08802891,0.066466313,0.042870688,0.039902546,0.023224471,0.029074176,0.121051275,0.040587798,0.521072868,0.653866679,0.40536931,0.079974015,0.581341428,0.549830233,0.943549305
hiphop,genre,9643,0.015493003,0.088276526,0.060319163,0.029883889,0.02490807,0.013914657,0.014403441,0.066026128,0.402148307,0.024580919,0.053934646,0.026991535,0.018748438,0.030298012,0.04125622,0.019731068,0.701500842,0.724281712,0.13621505,0.034665898,0.550040859,0.684330502,0.930914022
reggae,genre,6375,0.018579677,0.149245263,0.143157002,0.051652358,0.023516357,0.018903053,0.026217061,0.071595679,0.136605489,0.046439082,0.044187719,0.039515685,0.043436256,0.027608485,0.077210286,0.029938946,0.721894398,0.667693065,0.179907546,0.063438067,0.72862147,0.569654967,0.947808398
folk,genre,5589,0.020347534,0.120442855,0.124789355,0.06214518,0.012355118,0.019945204,0.045349979,0.077910077,0.051406221,0.079310522,0.060526415,0.059450479,0.028035048,0.024970451,0.127427421,0.033168857,0.50320132,0.615580768,0.457581302,0.057593016,0.532398152,0.470149944,0.947580715
metal,genre,5587,0.00986308,0.282811077,0.12955068,0.045349022,0.015950872,0.01025448,0.019907467,0.061751949,0.060165313,0.027795178,0.027897572,0.054800454,0.028646275,0.017422775,0.124526868,0.023393456,0.388985133,0.743089682,0.044457213,0.155522915,0.359309372,0.845759526,0.940086517
blues,genre,3615,0.026347142,0.138720164,0.107523659,0.057947117,0.016101654,0.021708132,0.054912062,0.072631218,0.068598701,0.072073694,0.050586095,0.051471005,0.02381927,0.029098776,0.117672621,0.037141335,0.469525616,0.661019252,0.397203717,0.120536466,0.519466613,0.558040068,0.946352645
punk,genre,3293,0.01602145,0.207910737,0.11276394,0.061014677,0.01521772,0.012808314,0.026508433,0.078390667,0.074011548,0.039863881,0.054636636,0.040811843,0.022352632,0.029024522,0.117213198,0.031642165,0.417657961,0.723933497,0.115821756,0.131208729,0.537507176,0.799088964,0.940192363
electronica,genre,986,0.017791221,0.137216598,0.102294722,0.059457251,0.020048,0.01223339,0.034856648,0.072800018,0.126345977,0.055922239,0.037469227,0.056143975,0.023014956,0.028992827,0.120923163,0.031880304,0.643582669,0.712243074,0.191960461,0.184555638,0.515784043,0.668217095,0.937390517
religious,genre,572,0.007556059,0.17595321,0.181439395,0.02876261,0.0130947,0.016571127,0.027042363,0.074637398,0.022832997,0.051651622,0.012870467,0.054241697,0.039906241,0.031831167,0.157291462,0.022461496,0.471387218,0.757394267,0.143545614,0.009306353,0.398895416,0.711004085,0.918144011
