main_genre,specific_genre,occurrences,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,theme_weight
rock,rock,5680,0.020411135,0.162564973,0.120187017,0.064977253,0.0193413,0.015686681,0.034633683,0.075912721,0.062004175,0.055747188,0.049804326,0.050024839,0.025512449,0.02663564,0.123776328,0.03294327,0.462327414,0.686377208,0.197660719,0.095285146,0.509512539,0.678348119,0.940162978
rock,classic rock,4424,0.026874469,0.111939863,0.128054354,0.068668704,0.017764493,0.018942355,0.043133786,0.078213593,0.059722709,0.0695961,0.052735491,0.053951027,0.025818158,0.026660268,0.12734687,0.036782193,0.488344886,0.644105059,0.302769602,0.066238565,0.560145753,0.586484926,0.946204431
country,country rock,4298,0.020719791,0.079713459,0.130450309,0.066844171,0.012069301,0.020499992,0.053446413,0.08319391,0.062907772,0.073585476,0.061412084,0.050430919,0.022024267,0.02555092,0.154820763,0.033393208,0.531360618,0.616730035,0.407916488,0.037258677,0.561068661,0.482326361,0.951062755
pop,mellow gold,3380,0.02257667,0.080871899,0.141882631,0.069073736,0.015395644,0.017048545,0.051800426,0.085352673,0.052120255,0.071088278,0.047856032,0.057211467,0.023625459,0.027022215,0.151149127,0.032995429,0.506291749,0.630738836,0.364502255,0.040964628,0.549253221,0.5300649,0.947070487
jazz,adult standards,3005,0.024066617,0.039766032,0.134079038,0.056500921,0.010386827,0.018944012,0.11231845,0.07285863,0.042122567,0.103113557,0.029970165,0.068213195,0.02168426,0.026582414,0.16281449,0.028392173,0.449672402,0.585631217,0.718907594,0.04315977,0.456903992,0.330939076,0.951813349
rock,album rock,2990,0.023353281,0.124403155,0.131126548,0.070636482,0.018462619,0.017467992,0.036654013,0.077910909,0.063300312,0.063756138,0.052550286,0.056377641,0.025129295,0.024899381,0.127892957,0.032098153,0.476607646,0.65162029,0.231713862,0.066768664,0.540460059,0.625539107,0.946019162
country,country,2897,0.019190269,0.057916968,0.138451905,0.065231578,0.011574761,0.02088407,0.061299246,0.083346704,0.06406533,0.064563359,0.067601607,0.042915572,0.017577689,0.028873005,0.181008127,0.029174317,0.551416945,0.646004032,0.426906542,0.011394142,0.517350617,0.477476189,0.953674508
rock,soft rock,2702,0.022896685,0.07756155,0.148518826,0.069499064,0.016294625,0.01517497,0.047288447,0.087808624,0.054694731,0.064769303,0.044157625,0.057766402,0.02245587,0.026113845,0.155583282,0.033581118,0.514850066,0.633311776,0.325527719,0.037516557,0.556253101,0.548130072,0.944164967
rock,blues rock,2686,0.031393724,0.125464764,0.108031274,0.067090223,0.018756816,0.023351012,0.041662255,0.077615984,0.075892936,0.071193954,0.052701132,0.049559653,0.024275977,0.027084408,0.111420196,0.040550892,0.488062382,0.657138389,0.292619883,0.093981235,0.570623056,0.614953118,0.946045199
folk,folk rock,2677,0.022591149,0.095614116,0.131727282,0.066340192,0.014165079,0.019451738,0.049160481,0.081249542,0.054719361,0.081332423,0.0550683,0.05798355,0.026093585,0.026894466,0.132743805,0.033791254,0.506943897,0.615244179,0.422110313,0.043172009,0.563336817,0.49264644,0.948926323
rock,hard rock,2040,0.022078007,0.178614247,0.119193155,0.066890833,0.022144989,0.016595461,0.030763421,0.068413914,0.071262846,0.052082865,0.047153457,0.055928811,0.025187927,0.022051781,0.114061854,0.030901062,0.429519116,0.680453301,0.138719804,0.088404526,0.503460772,0.717042184,0.943324628
rock,art rock,1939,0.017986677,0.154395284,0.135584815,0.068547417,0.01503126,0.015595373,0.034607476,0.070153175,0.054252426,0.065442229,0.053321801,0.059674599,0.027951587,0.024959542,0.116926241,0.031979107,0.465141377,0.642708472,0.25160598,0.117266344,0.529607214,0.604535725,0.94640901
rock,alternative rock,1937,0.016023656,0.211945312,0.102716894,0.058140806,0.019080594,0.012835589,0.030789232,0.073582139,0.063243617,0.045107314,0.050361745,0.049192984,0.026320271,0.027262185,0.120186739,0.03111864,0.437376627,0.709050338,0.149643353,0.169482889,0.470902897,0.722152513,0.937907717
jazz,vocal jazz,1869,0.021170795,0.045905291,0.129652949,0.052312208,0.008468576,0.019286982,0.122668692,0.07039952,0.047287285,0.115194388,0.030621422,0.073342792,0.022605534,0.026794599,0.14336485,0.027848108,0.431824932,0.560687386,0.819607624,0.08217738,0.401245238,0.261013495,0.95692399
rock,roots rock,1845,0.020828133,0.113827647,0.113338603,0.062439808,0.013167352,0.020475794,0.043863292,0.07912443,0.064842696,0.076364925,0.066970079,0.055716783,0.025165698,0.027519996,0.126142178,0.038223953,0.512599586,0.630444257,0.388184596,0.054940844,0.555578847,0.516991884,0.948011368
pop,brill building pop,1706,0.03147808,0.043205997,0.120991197,0.055284263,0.014345092,0.019279094,0.107636237,0.076149463,0.049837921,0.086844253,0.035317789,0.056099729,0.021778483,0.029892339,0.166662895,0.032811717,0.464080178,0.631452253,0.601956617,0.016436132,0.568610471,0.44167696,0.947614548
rnb,soul,1701,0.040503299,0.052370728,0.132521801,0.057118063,0.021233488,0.022731998,0.085562405,0.080359168,0.065903789,0.076316794,0.028452695,0.043868651,0.024744327,0.02945107,0.144298227,0.03938279,0.514564257,0.614538266,0.582906026,0.041864378,0.55943227,0.432662139,0.944819293
folk,folk,1567,0.019198831,0.114443621,0.118702566,0.060262967,0.01030086,0.021095346,0.047151606,0.079504159,0.052579835,0.086278209,0.065634776,0.062923275,0.027981472,0.022950435,0.129774263,0.032022387,0.511158713,0.59212453,0.509063801,0.03969789,0.528358624,0.418982335,0.950804609
rock,modern rock,1389,0.015034269,0.20721468,0.101166242,0.061049302,0.018622764,0.012619615,0.033404842,0.0832259,0.056612061,0.041121993,0.043098273,0.045873041,0.021814092,0.027394577,0.12746572,0.030403719,0.468790657,0.746364732,0.152819923,0.097580306,0.446624254,0.731520696,0.926121089
country,country road,1376,0.020206571,0.070918239,0.127687136,0.063606798,0.014644754,0.022659408,0.045682431,0.079000627,0.093053927,0.054863793,0.085161961,0.042181566,0.015664646,0.031696532,0.157660998,0.028049893,0.556183079,0.694259095,0.299041082,0.007011338,0.497685188,0.570483245,0.95273928
pop,lounge,1325,0.022568076,0.03652678,0.126737858,0.054492764,0.007382808,0.018641932,0.134368489,0.065206649,0.040533629,0.11319378,0.029930293,0.072442307,0.021103439,0.02687525,0.159416501,0.026634652,0.427720502,0.574209279,0.801138696,0.046131479,0.423719765,0.283765857,0.956055207
pop,pop rock,1289,0.01367351,0.148947846,0.130208168,0.061117234,0.017812285,0.0138099,0.033317457,0.08670701,0.056755015,0.047891416,0.049173028,0.054176473,0.022421705,0.028818633,0.140997295,0.031492249,0.51305555,0.707765234,0.210570928,0.050024772,0.506627357,0.664764313,0.937319224
metal,alternative metal,1286,0.008493558,0.254013403,0.124218361,0.044313299,0.018016033,0.009610542,0.019568997,0.071085221,0.073772767,0.029018156,0.027649077,0.042925467,0.022598985,0.018575384,0.141161151,0.027907708,0.413286644,0.757736744,0.047670759,0.127390714,0.376635182,0.835944123,0.932928111
reggae,reggae,1212,0.017968617,0.152534278,0.151918351,0.050167416,0.024443871,0.021136719,0.028750255,0.06966197,0.117974154,0.051568184,0.043443642,0.036820826,0.052162857,0.025305598,0.074799993,0.029986972,0.746726568,0.644797316,0.181929055,0.072661018,0.764206145,0.533030259,0.948643701
pop,permanent wave,1184,0.017138859,0.181301738,0.116483064,0.056216815,0.015893198,0.013400633,0.032141781,0.080895638,0.053383976,0.050776045,0.050294547,0.0491386,0.024659331,0.028832787,0.135429136,0.030315446,0.468952801,0.695540918,0.186401958,0.111349769,0.514531831,0.685450637,0.936301594
rock,rock-and-roll,1176,0.036397987,0.044495178,0.103327186,0.057172818,0.015387834,0.022310193,0.116066157,0.075743939,0.058475778,0.080599818,0.03366129,0.051822295,0.021975124,0.031218183,0.165752102,0.031608423,0.499430282,0.628872674,0.642415171,0.023197523,0.620261264,0.452821779,0.946014304
pop,pop,1173,0.025965268,0.097549625,0.101058867,0.058738927,0.027290288,0.012171331,0.038755303,0.095265336,0.129905916,0.037938168,0.033778872,0.037764424,0.015506296,0.039026995,0.151086125,0.031592886,0.589841804,0.740655991,0.213399398,0.015881273,0.459688361,0.640623955,0.933394628
